DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd02502_c0	3-(3,4-Dihydroxyphenyl)pyruvate	3-(3,4-Dihydroxyphenyl)pyruvate	3-(3,4-Dihydroxyphenyl)pyruvate	C04045	C9H7O5	-1
cpd02503_c0	3-Hydroxyisobutyryl-CoA	3hibutcoa	3-hydroxy-isobutyryl-CoA|3-Hydroxyisobutyryl coenzyme A|3-Hydroxyisobutyryl-CoA|3-Hydroxy-2-methylpropionyl-CoA|3-Hydroxy-2-methylpropanoyl-CoA	C04047	C25H39N7O18P3S	-3
cpd02504_c0	4-Hydroxy-4-methyl-2-oxoadipate	4-Hydroxy-4-methyl-2-oxoadipate	4-Hydroxy-4-methyl-2-oxoadipate	C04049	C7H8O6	-2
cpd02505_c0	4-Hydroxyaminoquinoline N-oxide	4-Hydroxyaminoquinoline N-oxide	4-Hydroxyaminoquinoline N-oxide	C04050	C9H8N2O2	0
cpd02506_c0	5-Amino-4-imidazolecarboxyamide	5-Amino-4-imidazolecarboxyamide	5-Amino-4-imidazolecarboxyamide	C04051	C4H6N4O	0
cpd02507_c0	5-Carboxy-2-oxohept-3-enedioate	5-Carboxy-2-oxohept-3-enedioate	5-Oxopent-3-ene-1,2,5-tricarboxylate|5-Carboxy-2-oxohept-3-enedioate	C04052	C8H5O7	-3
cpd02508_c0	5-Dehydro-4-deoxy-D-glucuronate	5dh4dglcn	4-Deoxy-L-threo-5-hexosulose uronate|5-Dehydro-4-deoxy-D-glucuronate	C04053	C6H7O6	-1
cpd02509_c0	5-Hydroxybenzimidazolylcobamide	5-Hydroxybenzimidazolylcobamide	5-Hydroxybenzimidazolylcobamide		C59H86CoN13O15P	0
cpd02510_c0	(9Z,11E)-Octadecadienoic acid	(9Z,11E)-Octadecadienoic acid	(9Z,11E)-Octadecadienoic acid|9-cis,11-trans-Octadecadienoate	C04056	C18H31O2	-1
cpd02511_c0	Bis(5'-adenosyl) pentaphosphate	ap5a	P1,P5-Bis(5'-adenosyl) pentaphosphate|Bis(5'-adenosyl) pentaphosphate	C04058	C20H24N10O22P5	-5
cpd02512_c0	Inositol 1,3-bisphosphate	Inositol 1,3-bisphosphate	Inositol 1,3-bisphosphate|myo-Inositol 1,3-bisphosphate|1D-myo-Inositol 1,3-bisphosphate|D-myo-Inositol 1,3-bisphosphate	C04062	C6H12O12P2	-2
cpd02513_c0	Inositol 3,4-bisphosphate	Inositol 3,4-bisphosphate	Inositol 3,4-bisphosphate|1D-myo-Inositol 3,4-bisphosphate|D-myo-Inositol 3,4-bisphosphate	C04063	C6H12O12P2	-2
cpd02514_c0	D-myo-Inositol 4,5-bisphosphate	D-myo-Inositol 4,5-bisphosphate	D-myo-Inositol 4,5-bisphosphate	C04064	C6H12O12P2	-2
cpd02515_c0	Diethyl oxalpropionate	Diethyl oxalpropionate	Diethyl oxalpropionate|Diethyl 2-methyl-3-oxosuccinate	C04067	C9H14O5	0
cpd02516_c0	Flavonol 3-O-D-xylosylglucoside	Flavonol 3-O-D-xylosylglucoside	Flavonol 3-O-D-xylosylglucoside	C04068	C26H28O12	0
cpd02517_c0	Flavonol 3-O-D-xylosylglycoside	Flavonol 3-O-D-xylosylglycoside	Flavonol 3-[beta-D-xylosyl-(1->2)-beta-D-glycoside]|Flavonol 3-O-[D-xylosyl-(1->2)-beta-D-glycoside]|Flavonol 3-O-D-xylosylglycoside	C04069	C26H28O12	0
cpd02518_c0	Gibberellin 2-O-beta-D-glucoside	Gibberellin 2-O-beta-D-glucoside	Gibberellin 2-O-beta-D-glucoside	C04070	C25H31O11	-1
cpd02519_c0	Guanidinoethyl methyl phosphate	Guanidinoethyl methyl phosphate	Guanidinoethyl methyl phosphate	C04071	C4H12N3O4P	0
cpd02520_c0	Isoflavone 7-O-beta-D-glucoside	Isoflavone 7-O-beta-D-glucoside	Isoflavone 7-O-beta-D-glucoside	C04074	C21H20O8	0
cpd02521_c0	L-2-Amino-4-chloropent-4-enoate	L-2-Amino-4-chloropent-4-enoate	2-Amino-4-chloro-4-pentenoic acid|L-2-Amino-4-chloropent-4-enoate	C04075	C5H8NO2Cl	0
cpd02522_c0	2-Aminoadipate 6-semialdehyde	L2aadp6sa	2-Aminoadipate 6-semialdehyde|L-2-Aminoadipate 6-semialdehyde	C04076	C6H11NO3	0
cpd02523_c0	Vitamin U	Vitamin U	Vitamin U|Methylmethionine sulfonium chloride|Methylmethionine sulfonium salt	C04078	Cl	-1
cpd02524_c0	N-Pantothenoylcysteine	ptcys	N-Pantothenoylcysteine|D-Pantothenoyl-L-cysteine|N-((R)-Pantothenoyl)-L-cysteine	C04079	C12H21N2O6S	-1
cpd02525_c0	N-Hydroxy-4-acetylaminobiphenyl	N-Hydroxy-4-acetylaminobiphenyl	N-Hydroxy-4-acetylaminobiphenyl	C04081	C14H13NO2	0
cpd02526_c0	N6-Dimethylallyladenine	N6-Dimethylallyladenine	N6-Dimethylallyladenine|6-(gamma,gamma-Dimethylallylamino)purine|N6-(3-Methylbut-2-enyl)adenine|N6-(delta2-Isopentenyl)-adenine	C04083	C10H13N5	0
cpd02527_c0	Pregna-4,9(11)-diene-3,20-dione	Pregna-4,9(11)-diene-3,20-dione	Pregna-4,9(11)-diene-3,20-dione	C04084	C21H28O2	0
cpd02528_c0	UDP-4-oxo-6-deoxy-D-glucose	UDP-4-oxo-6-deoxy-D-glucose	UDP-4-oxo-6-deoxy-D-glucose|UDP-4-keto-6-deoxy-D-glucose|UDP-4-dehydro-6-deoxy-D-glucose	C04089	C15H20N2O16P2	-2
cpd02529_c0	cis-Benzeneglycol	cis-Benzeneglycol	cis-Cyclohexa-3,5-diene-1,2-diol|cis-Benzeneglycol|cis-1,2-Dihydrobenzene-1,2-diol	C04091	C6H8O2	0
cpd02531_c0	1-Linoleoylglycerophosphocholine	1-Linoleoylglycerophosphocholine	1-Linoleoyl-sn-glycero-3-phosphocholine|1-Linoleoylglycerophosphocholine	C04100	C26H50NO7P	0
cpd02532_c0	1-O,6-O-Digalloyl-beta-D-glucose	1-O,6-O-Digalloyl-beta-D-glucose	1-O,6-O-Digalloyl-beta-D-glucose	C04101	C20H20O14	0
cpd02533_c0	1-Palmitoylglycerophosphocholine	1-Palmitoylglycerophosphocholine	1-Palmitoyl-sn-glycero-3-phosphocholine|1-Palmitoylglycerophosphocholine	C04102	C24H50NO7P	0
cpd02534_c0	13-beta-D-Glucosyloxydocosanoate	13-beta-D-Glucosyloxydocosanoate	13-beta-D-Glucosyloxydocosanoate	C04103	C28H53O8	-1
cpd02535_c0	2,3-Dihydroxy-3-methylvalerate	23dhmp	R-2-3-Dihydroxy-3-methylpentanoate|(2R,3R)-2,3-Dihydroxy-3-methylpentanoate|(R)-2,3-Dihydroxy-3-methylvalerate|(R)-2,3-Dihydroxy-3-methylpentanoate|2,3-Dihydroxy-3-methylvalerate|2,3-Dihydroxy-3-methylpentanoate	C04104|C06007	C6H11O4	-1
cpd02536_c0	Muconolactone	25d5o2a	(+)-Muconolactone|(S)-5-Oxo-2,5-dihydrofuran-2-acetate|4-Carboxymethyl-4-hydroxyisocrotonolactone|5-Oxo-2,5-dihydrofuran-2-acetate|Muconolactone|2-Oxo-2,5-dihydrofuran-5-acetate|2,5-Dihydro-5-oxofuran-2-acetate	C04105|C14610	C6H5O4	-1
cpd02537_c0	2-(Hydroxymethyl)-4-oxobutanoate	2-(Hydroxymethyl)-4-oxobutanoate	2-Hydroxymethyl succinate semialdehyde|alpha-Hydroxymethyl succinate semialdehyde|2-(Hydroxymethyl)-4-oxobutanoate	C04106	C5H7O4	-1
cpd02538_c0	20-Hydroxy-3-oxopregn-4-en-21-al	20-Hydroxy-3-oxopregn-4-en-21-al	20-Hydroxy-3-oxopregn-4-en-21-al	C04108	C21H30O3	0
cpd02539_c0	3,3',4',5,7,8-Hexahydroxyflavone	3,3',4',5,7,8-Hexahydroxyflavone	3,3',4',5,7,8-Hexahydroxyflavone	C04109	C15H8O8	-2
cpd02540_c0	3,5-Dihydroxy-1,4-naphthoquinone	3,5-Dihydroxy-1,4-naphthoquinone	3,5-Dihydroxy-1,4-naphthoquinone	C04110	C10H5O4	-1
cpd02541_c0	3-(Phosphoacetylamido)-L-alanine	3-(Phosphoacetylamido)-L-alanine	3-(Phosphoacetylamido)-L-alanine	C04111	C5H10N2O7P	-1
cpd02542_c0	3-Methyl-cis,cis-muconate	3-Methyl-cis,cis-muconate	3-Methyl-cis,cis-muconate|3-Methyl-cis,cis-hexadienedioate	C04112	C7H6O4	-2
cpd02543_c0	4-(Trimethylammonio)but-2-enoate	4-(Trimethylammonio)but-2-enoate	4-(Trimethylammonio)but-2-enoate	C04114	C7H13NO2	0
cpd02544_c0	4-Carboxy-4-hydroxy-2-oxoadipate	4-Carboxy-4-hydroxy-2-oxoadipate	2-Hydroxy-4-oxobutane-1,2,4-tricarboxylate|4-Hydroxy-4-carboxymethyl-2-oxoglutarate|4-Carboxy-4-hydroxy-2-oxoadipate	C04115	C7H5O8	-3
cpd02545_c0	Isocorypalmine	Isocorypalmine	(13aS)-5,8,13,13a-tetrahydro-3,9,10-trimethoxy-6H- Dibenzo[a,g]quinolizin-2-ol|Isocorypalmine|(S)-Tetrahydrocolumbamine|5,8,13,13a-Tetrahydrocolumbamine	C04118	C20H23NO4	0
cpd02546_c0	CMP-KDO	ckdo	CMP-KDO|CMP-3-deoxy-D-manno-octulosonate	C04121	C17H24N3O15P	-2
cpd02547_c0	(R)-1-Aminopropan-2-yl phosphate	applp	(R)-1-Aminopropan-2-yl phosphate|D-1-Aminopropan-2-ol O-phosphate	C04122	C3H10NO4P	0
cpd02548_c0	Indole-3-acetyl-beta-1-D-glucose	Indole-3-acetyl-beta-1-D-glucose	Indole-3-acetyl-beta-1-D-glucose		C16H19NO7	0
cpd02549_c0	(S)-1-Aminopropan-2-yl phosphate	(S)-1-Aminopropan-2-yl phosphate	(S)-1-Aminopropan-2-yl phosphate|L-1-Aminopropan-2-ol O-phosphate	C04126	C3H10NO4P	0
cpd02550_c0	Methyl 2-diazoacetamidohexanoate	Methyl 2-diazoacetamidohexanoate	Methyl 2-diazoacetamidohexanoate	C04130	C9H16N3O3	1
cpd02551_c0	N-Acetyl-D-glucosamine 6-sulfate	N-Acetyl-D-glucosamine 6-sulfate	N-Acetyl-D-glucosamine 6-sulfate	C04132	C8H14NO9S	-1
cpd02552_c0	n-acetylglutamyl-phosphate	acg5p	n-acetylglutamyl-phosphate|N-acetyl-5-glutamyl phosphate|N-acetyl-glutamyl-phosphate|N-Acetyl-L-glutamyl 5-phosphate|N-Acetyl-L-glutamate 5-phosphate	C04133	C7H10NO8P	-2
cpd02553_c0	Octopine	octp	Octopine|L-Arginine, N2-[(1R)-1-carboxyethyl]-|L-Arginine, N2-(1-carboxyethyl)-, (R)-|D-(+)-Octopine|Arginine, N2-(1-carboxyethyl)-, L-|N2-(1-Carboxyethyl)-L-arginine|D-Octopine|N2-(D-1-Carboxyethyl)-L-arginine	C04137	C9H18N4O4	0
cpd02554_c0	N(alpha)-gamma-L-Glutamylhistamine	N(alpha)-gamma-L-Glutamylhistamine	N(alpha)-gamma-L-Glutamylhistamine	C04138	C10H16N4O3	0
cpd02555_c0	Tetrahydropteroyltri-L-glutamate	hpglu	Tetrahydropteroyltri-L-glutamate	C04144	C29H33N9O12	-4
cpd02557_c0	Farnesylfarnesylgeraniol	octdp	all-trans-Octaprenyldiphosphate|Farnesylfarnesylgeraniol|all-trans-Octaprenyl diphosphate	C04146	C40H66O7P2	-2
cpd02558_c0	alpha-D-Glucosyl-(1,3)-D-mannose	alpha-D-Glucosyl-(1,3)-D-mannose	alpha-D-Glucosyl-(1,3)-D-mannose	C04147	C12H22O11	0
cpd02559_c0	alpha-N-Phenylacetyl-L-glutamine	alpha-N-Phenylacetyl-L-glutamine	alpha-N-Phenylacetyl-L-glutamine	C04148	C13H15N2O4	-1
cpd02560_c0	beta-D-Mannosylphosphodecaprenol	beta-D-Mannosylphosphodecaprenol	beta-D-Mannosylphosphodecaprenol	C04150	C56H92O9P	-1
cpd02561_c0	trans-Cinnamoyl beta-D-glucoside	trans-Cinnamoyl beta-D-glucoside	1-O-trans-Cinnamoyl-beta-D-glucopyranose|trans-Cinnamoyl beta-D-glucoside	C04164	C15H18O7	0
cpd02562_c0	(+)-Neomenthyl O-beta-D-glucoside	(+)-Neomenthyl O-beta-D-glucoside	(+)-Neomenthyl O-beta-D-glucoside	C04165	C16H30O6	0
cpd02563_c0	(+/-)-6-Hydroxy-3-oxo-alpha-ionol	(+/-)-6-Hydroxy-3-oxo-alpha-ionol	(+/-)-6-Hydroxy-3-oxo-alpha-ionol	C04166	C13H20O3	0
cpd02564_c0	(+/-)-trans-Acenaphthene-1,2-diol	(+/-)-trans-Acenaphthene-1,2-diol	(+/-)-trans-Acenaphthene-1,2-diol	C04167	C12H10O2	0
cpd02565_c0	(+)-13alpha-Tigloyloxylupanine	(+)-13alpha-Tigloyloxylupanine	(+)-13alpha-Tigloyloxylupanine|13-(2-Methylcrotonoyl)oxylupinine|13-(2-Methylcrotonoyl)oxylupanine	C04170	C20H30N2O3	0
cpd02566_c0	2,3-Dihydroxy-2,3-dihydrobenzoate	23ddhb	2,3-Dihydroxy-2,3-dihydrobenzoate|2,3-Dihydro-2,3-dihydroxybenzoate	C04171	C7H7O4	-1
cpd02567_c0	2-Deoxy-D-ribose 1,5-bisphosphate	2-Deoxy-D-ribose 1,5-bisphosphate	2-Deoxy-D-ribose 1,5-bisphosphate	C04175	C5H10O10P2	-2
cpd02568_c0	Bromoxynil	Bromoxynil	Bromoxynil|3,5-Dibromo-4-hydroxybenzonitrile	C04178	C7H2NOBr2	-1
cpd02569_c0	2-Oxo-3-hydroxyisovalerate	33hmeoxobut	2-Oxo-3-hydroxyisovalerate|3-Hydroxy-3-methyl-2-oxobutanoate|3-Hydroxy-3-methyl-2-oxobutanoic acid	C04181	C5H7O4	-1
cpd02570_c0	Parapyruvate	Parapyruvate	Parapyruvate|4-Hydroxy-4-methyl-2-oxoglutarate	C06033	C6H6O6	-2
cpd02571_c0	DHICA	DHICA	DHICA|5,6-Dihydroxyindole-2-carboxylate	C04185	C9H6NO4	-1
cpd02572_c0	5-Carboxymethyl-2-hydroxymuconate	5cm2hm	5-Carboxymethyl-2-hydroxymuconate	C04186	C8H5O7	-3
cpd02573_c0	5-Methyldeoxycytidine diphosphate	5-Methyldeoxycytidine diphosphate	5-Methyldeoxycytidine diphosphate	C04187	C10H15N3O10P2	-2
cpd02574_c0	methylthioribose-1-phosphate	5mdr1p	methylthioribose-1-phosphate|5-Methylthio-5-deoxy-D-ribose1-phosphate|S-Methyl-5-thio-5-deoxy-D-ribose 1-phosphate|S-Methyl-5-thio-alpha-D-ribose 1-phosphate|5-Methylthio-5-deoxy-D-ribose 1-phosphate|S-Methyl-5-thio-D-ribose 1-phosphate	C04188	C6H12O7PS	-1
cpd02575_c0	Dihydrostreptomycin 3''-phosphate	Dihydrostreptomycin 3''-phosphate	Dihydrostreptomycin 3''-phosphate	C04191	C21H44N7O15P	2
cpd02576_c0	Flavonol 3-O-D-xylosylgalactoside	Flavonol 3-O-D-xylosylgalactoside	Flavonol 3-O-D-xylosylgalactoside	C04193	C26H28O12	0
cpd02577_c0	Flavonol 3-O-[beta-L-rhamnosyl-(1->6)-beta-D-glucoside]	Flavonol 3-O-[beta-L-rhamnosyl-(1->6)-beta-D-glucoside]	Flavonol 3-O-[beta-L-rhamnosyl-(1->6)-beta-D-glucoside]		C27H32O15	0
cpd02578_c0	Indole-3-acetyl-beta-1-D-glucoside	Indole-3-acetyl-beta-1-D-glucoside	1-O-(Indol-3-yl)acetyl-beta-D-glucose|Indole-3-acetyl-beta-1-D-glucoside	C04197	C16H19NO7	0
cpd02579_c0	Isovitexin 2''-O-beta-D-glucoside	Isovitexin 2''-O-beta-D-glucoside	Isovitexin 2''-O-beta-D-glucoside	C04199	C27H29O15	-1
cpd02580_c0	L-Tyrosine methyl ester 4-sulfate	L-Tyrosine methyl ester 4-sulfate	L-Tyrosine methyl ester 4-sulfate	C04201	C10H12NO6S	-1
cpd02581_c0	p-Amino-N,N-dimethylaniline	p-Amino-N,N-dimethylaniline	p-Amino-N,N-dimethylaniline|N,N-Dimethyl-p-phenylenediamine|N,N-Dimethyl-1,4-phenylenediamine	C04203	C8H12N2	0
cpd02582_c0	2,3-Dihydroxy-N-benzoyl-L-serine	2,3-Dihydroxy-N-benzoyl-L-serine	2,3-Dihydroxy-N-benzoyl-L-serine|N-(2,3-Dihydroxybenzoyl)-L-serine	C04204	C10H10NO6	-1
cpd02583_c0	N-(3,4-Dichlorophenyl)-malonamate	N-(3,4-Dichlorophenyl)-malonamate	N-(3,4-Dichlorophenyl)-malonamate	C04205	C9H6NO3Cl2	-1
cpd02584_c0	N-Benzoyl-4-hydroxyanthranilate	N-Benzoyl-4-hydroxyanthranilate	N-Benzoyl-4-hydroxyanthranilate	C04207	C14H10NO4	-1
cpd02585_c0	N-Benzoyl-4-O-methoxyanthranilate	N-Benzoyl-4-O-methoxyanthranilate	N-Benzoyl-4-O-methoxyanthranilate		C15H12NO4	-1
cpd02586_c0	N3-Oxalyl-L-2,3-diaminopropanoate	N3-Oxalyl-L-2,3-diaminopropanoate	L-alpha-Amino-beta-oxalylaminopropionic acid|N3-Oxalyl-L-2,3-diaminopropanoate	C04209	C5H7N2O5	-1
cpd02587_c0	N5-(L-1-Carboxyethyl)-L-ornithine	cll_112	N5-(L-1-Carboxyethyl)-L-ornithine	C04210	C8H16N2O4	0
cpd02588_c0	N6-[(Indol-3-yl)acetyl]-L-lysine	N6-[(Indol-3-yl)acetyl]-L-lysine	N6-[(Indol-3-yl)acetyl]-L-lysine|N(6)-[(Indol-3-yl)acetyl]-L-lysine	C04211	C16H21N3O3	0
cpd02589_c0	3',5'-Cyclic nucleotide	3',5'-Cyclic nucleotide	Nucleoside 3',5'-cyclic phosphate|3',5'-Cyclic nucleotide	C04212	C5H7O6PR	-1
cpd02590_c0	all-trans-Heptaprenyl diphosphate	hepdp	all-trans-Heptaprenyl diphosphate	C04216	C35H58O7P2	-2
cpd02591_c0	pendp	pendp	pendp|all-trans-Pentaprenyl diphosphate	C04217	C25H42O7P2	-2
cpd02592_c0	alpha,alpha'-Trehalose 6-mycolate	alpha,alpha'-Trehalose 6-mycolate	alpha,alpha'-Trehalose 6-mycolate	C04218	C44H82O13	0
cpd02593_c0	alpha-D-Aldosyl beta-D-fructoside	alpha-D-Aldosyl beta-D-fructoside	alpha-D-Aldosyl2 beta-D-fructoside|alpha-D-Aldosyl1 beta-D-fructoside|alpha-D-Aldosyl beta-D-fructoside	C04219	C12H22O11	0
cpd02594_c0	trans-1,2-Dihydrobenzene-1,2-diol	trans-1,2-Dihydrobenzene-1,2-diol	trans-1,2-Dihydrobenzene-1,2-diol	C04221	C6H8O2	0
cpd02595_c0	p-Coumaroyl quinic acid	p-Coumaroyl quinic acid	p-Coumaroyl quinic acid|trans-5-O-(4-Coumaroyl)-D-quinate	C12208	C16H17O8	-1
cpd02596_c0	(+/-)-6-Hydroxy-3-oxo-alpha-ionone	(+/-)-6-Hydroxy-3-oxo-alpha-ionone	(+/-)-6-Hydroxy-3-oxo-alpha-ionone	C04223	C13H18O3	0
cpd02597_c0	cis-2-Methylaconitate	2mcacn	cis-2-Methylaconitate|2-methyl-cis-aconitase|(Z)-But-2-ene-1,2,3-tricarboxylate	C04225	C7H5O6	-3
cpd02598_c0	1,4,5,6-Tetrahydro-6-oxonicotinate	1,4,5,6-Tetrahydro-6-oxonicotinate	1,4,5,6-Tetrahydro-6-oxonicotinate|6-oxo-1,4,5,6-tetrahydronicotinate	C04226	C6H6NO3	-1
cpd02599_c0	Octopamine	Octopamine	p-Hydroxyphenylethanolamine|Octopamine|1-(4-Hydroxyphenyl)-2-aminoethanol	C04227	C8H12NO2	1
cpd02600_c0	Indole propanol phosphate	Indole propanol phosphate	Indole propanol phosphate|1-(Indol-3-yl)propanol 3-phosphate	C04229	C11H13NO4P	-1
cpd02601_c0	2-Lysolecithin	2-Lysolecithin	1-Acylglycerophosphocholine|2-Lysophosphatidylcholine|2-Lysolecithin|alpha-Acylglycerophosphocholine|1-Acyl-sn-glycerol-3-phosphocholine|1-Acyl-sn-glycero-3-phosphocholine	C04230	C9H19NO7PR	0
cpd02602_c0	2'-Deoxyribonucleoside diphosphate	2'-Deoxyribonucleoside diphosphate	2'-Deoxyribonucleoside diphosphate	C04232	C5H9O9P2R	-2
cpd02603_c0	3-Lysolecithin	3-Lysolecithin	3-Lysolecithin|1-Lysolecithin|1-Lysophosphatidylcholine|2-Acylglycero-3-phosphocholine|2-Acyl-sn-glycero-3-phosphocholine	C04233	C9H19NO7PR	0
cpd02604_c0	2-Carboxy-D-arabinitol 1-phosphate	2-Carboxy-D-arabinitol 1-phosphate	2-Carboxy-D-arabinitol 1-phosphate	C04234	C6H11O10P	-2
cpd02605_c0	2-isopropyl-3-oxosuccinate	3c4mop	2-isopropyl-3-oxosuccinate|2-Oxo-4-methyl-3-carboxypentanoate|3-Carboxy-4-methyl-2-oxopentanoate|(2S)-2-Isopropyl-3-oxosuccinate	C04236	C7H8O5	-2
cpd02606_c0	3-Hydroxy-3-methyl-2-oxopentanoate	3-Hydroxy-3-methyl-2-oxopentanoate	3-Hydroxy-3-methyl-2-oxopentanoate|3-Hydroxy-3-methyl-2-oxopentanoic acid	C04237	C6H9O4	-1
cpd02607_c0	5-Fluorodeoxyuridine monophosphate	5-Fluorodeoxyuridine monophosphate	5-Fluorodeoxyuridine monophosphate	C04242	C9H11N2O8PF	-1
cpd02608_c0	6-Lactoyl-5,6,7,8-tetrahydropterin	6-Lactoyl-5,6,7,8-tetrahydropterin	6-Lactoyl-5,6,7,8-tetrahydropterin	C04244	C9H13N5O3	0
cpd02609_c0	Amino acid(Tyr-, Trp-, Phe-, Leu-)	Amino acid(Tyr-, Trp-, Phe-, Leu-)	Amino acid(Tyr-, Trp-, Phe-, Leu-)	C04245	C35H43N5O9	-4
cpd02610_c0	N-Acetyl-D-galactosamine 6-sulfate	N-Acetyl-D-galactosamine 6-sulfate	N-Acetyl-D-galactosamine 6-sulfate	C04255	C8H14NO9S	-1
cpd02611_c0	N-Acetyl-D-glucosamine1-phosphate	acgam1p	N-Acetyl-D-glucosamine1-phosphate|N-Acetyl-alpha-D-glucosamine 1-phosphate|N-Acetyl-D-glucosamine 1-phosphate	C04501|C04256	C8H15NO9P	-1
cpd02612_c0	N-Acetylmannosamine 6-phosphate	acmanap	N-Acetylmannosamine 6-phosphate|N-Acetyl-D-mannosamine 6-phosphate	C04257	C8H15NO9P	-1
cpd02613_c0	Nalpha,Nalpha-Dimethyl-L-histidine	Nalpha,Nalpha-Dimethyl-L-histidine	Nalpha,Nalpha-Dimethyl-L-histidine	C04259	C8H13N3O2	0
cpd02614_c0	S-(4-Bromophenyl)-mercaptopyruvate	S-(4-Bromophenyl)-mercaptopyruvate	S-(4-Bromophenyl)-mercaptopyruvate	C04264	C9H6O3SBr	-1
cpd02615_c0	alpha,alpha'-Trehalose 6-palmitate	alpha,alpha'-Trehalose 6-palmitate	alpha,alpha'-Trehalose 6-palmitate	C04265	C28H52O12	0
cpd02616_c0	dTDP-4-amino-4,6-dideoxy-D-glucose	dtdp4addg	dTDP-4-amino-4,6-dideoxy-D-glucose	C04268	C16H26N3O14P2	-1
cpd02618_c0	(6aR,11aR)-3,9-Dihydroxypterocarpan	(6aR,11aR)-3,9-Dihydroxypterocarpan	(6aR,11aR)-3,9-Dihydroxypterocarpan	C04271	C15H12O4	0
cpd02620_c0	(S)-Mandelonitrile beta-D-glucoside	(S)-Mandelonitrile beta-D-glucoside	(S)-Mandelonitrile beta-D-glucoside	C04273	C14H17NO6	0
cpd02621_c0	EPNP	EPNP	EPNP|1,2-Epoxy-3-(p-Nitrophenoxy)propane	C04274	C9H9NO4	0
cpd02622_c0	1,2-Bis-O-sinapoyl-beta-D-glucoside	1,2-Bis-O-sinapoyl-beta-D-glucoside	1,2-Bis-O-sinapoyl-beta-D-glucoside	C04275	C28H32O14	0
cpd02623_c0	1,8-Diazacyclotetradecane-2,9-dione	1,8-Diazacyclotetradecane-2,9-dione	1,8-Diazacyclotetradecane-2,9-dione	C04277	C12H22N2O2	0
cpd02624_c0	1-Guanidino-1-deoxy-scyllo-inositol	1-Guanidino-1-deoxy-scyllo-inositol	1-Guanidino-1-deoxy-scyllo-inositol	C04280	C7H16N3O5	1
cpd02625_c0	3-Hydroxy-L-1-pyrroline-5-carboxylate	1p3h5c	(3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate|3-Hydroxy-L-1-pyrroline-5-carboxylate|L-1-Pyrroline-3-hydroxy-5-carboxylate	C04281	C5H6NO3	-1
cpd02626_c0	1-Pyrroline-4-hydroxy-2-carboxylate	1-Pyrroline-4-hydroxy-2-carboxylate	1-Pyrroline-4-hydroxy-2-carboxylate	C04282	C5H6NO3	-1
cpd02627_c0	2'-Deoxyribonucleoside triphosphate	2'-Deoxyribonucleoside triphosphate	2'-Deoxyribonucleoside triphosphate	C04283	C5H9O12P3R	-3
cpd02628_c0	2-Heptyl-4-hydroxyquinoline-N-oxide	2-Heptyl-4-hydroxyquinoline-N-oxide	2-Heptyl-4-hydroxyquinoline-N-oxide	C04284	C16H21NO2	0
cpd02629_c0	3,5-Dibromo-4-hydroxyphenylpyruvate	3,5-Dibromo-4-hydroxyphenylpyruvate	3,5-Dibromo-4-hydroxyphenylpyruvate	C04285	C9H4O4Br2	-2
cpd02630_c0	3,5-Dinitro-4-hydroxyphenylpyruvate	3,5-Dinitro-4-hydroxyphenylpyruvate	3,5-Dinitro-4-hydroxyphenylpyruvate	C04286	C9H4N2O8	-2
cpd02631_c0	DKDI	cbs_76	(3R,4S,5R)-3,4,5-Trihydroxy-1,2-cyclohexanedione|3D-(3,5/4)-Trihydroxycyclohexa-1,2-dione|D-2,3-diketo-4-deoxy-epi-inositol|DKDI|D-2,3-Diketo 4-deoxy-epi-inositol|3,5/4-Trihydroxycyclohexa-1,2-dione	C04287|C06891	C6H8O5	0
cpd02632_c0	4-(3-Methylbut-2-enyl)-L-tryptophan	4-(3-Methylbut-2-enyl)-L-tryptophan	4-(3-Methylbut-2-enyl)-L-tryptophan	C04290	C16H20N2O2	0
cpd02633_c0	4-(Dimethylamino)phenylazoxybenzene	4-(Dimethylamino)phenylazoxybenzene	4-(Dimethylamino)phenylazoxybenzene	C04291	C14H15N3O	0
cpd02634_c0	5'-Phosphonucleoside 3'-diphosphate	5'-Phosphonucleoside 3'-diphosphate	5'-Phosphonucleoside 3'-diphosphate	C04292	C5H9O13P3R	-3
cpd02635_c0	Chrysoeriol	Chrysoeriol	Chrysoeriol|3'-O-Methylluteolin|5,7,4'-Trihydroxy-3'-methoxyflavone	C04293	C16H12O6	0
cpd02636_c0	4-Methyl-5--2-hydroxyethyl-thiazole	4mhetz	4-Methyl-5--2-hydroxyethyl-thiazole|4-Methyl-5-(2-hydroxyethyl)-thiazole|4-Methyl-5-(2'-hydroxyethyl)-thiazole|5-(2-Hydroxyethyl)-4-methylthiazole	C04294	C6H9NOS	0
cpd02637_c0	Androstenediol	Androstenediol	Androstenediol|3beta,17beta-Dihydroxy-5-androstene|3beta,17beta-Dihydroxyandrost-5-ene|Androst-5-ene-3beta,17beta-diol	C04295	C19H30O2	0
cpd02638_c0	CDP-4-dehydro-3,6-dideoxy-D-glucose	CDP-4-dehydro-3,6-dideoxy-D-glucose	CDP-4-dehydro-3,6-dideoxy-D-glucose	C04297	C15H21N3O14P2	-2
