DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd12550_c0	4-O-methylglucuronoxylan	4-O-methylglucuronoxylan	Glucuronoxylan 4-O-methyl-D-glucuronate|4-O-methylglucuronoxylan	C04459	C22H34O18*2	0
cpd12551_c0	alpha-2,8-Linked polymer of sialic acid	alpha-2,8-Linked polymer of sialic acid	alpha-2,8-Linked polymer of sialic acid	C04466	C9H12NO8R4*	0
cpd12552_c0	alpha-L-Fucosyl-1,2-beta-D-galactosyl-R	alpha-L-Fucosyl-1,2-beta-D-galactosyl-R	alpha-L-Fucosyl-1,2-beta-D-galactosyl-R		C12H21O10R	0
cpd12553_c0	3-alpha-D-Galactosyl-[lipopolysaccharide glucose]	3-alpha-D-Galactosyl-[lipopolysaccharide glucose]	3-alpha-D-Galactosyl-[lipopolysaccharide glucose]	C04473		10000000
cpd12554_c0	1-Alkyl-2-acylglycerophosphoethanolamine	1-Alkyl-2-acylglycerophosphoethanolamine	1-Alkyl-2-acylglycerophosphoethanolamine|1-Radyl-2-acyl-sn-glycero-3-phosphoethanolamine|1-Organyl-2-acyl-sn-glycero-3-phosphoethanolamine|O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine|2-Acyl-1-alkyl-sn-glycero-3-phosphoethanolamine	C04475	C6H11NO7PR2	-1
cpd12555_c0	1-Alkyl-sn-glycero-3-phosphoethanolamine	1-Alkyl-sn-glycero-3-phosphoethanolamine	1-Alkyl-sn-glycero-3-phosphoethanolamine	C04476	C5H12NO6PR	-1
cpd12556_c0	3-Phosphatidyl-1'-(3'-O-L-lysyl)glycerol	3-Phosphatidyl-1'-(3'-O-L-lysyl)glycerol	3-Phosphatidyl-1'-(3'-O-L-lysyl)glycerol	C04482	C14H24N2O11PR2	-1
cpd12558_c0	Mannosyl-oligosaccharide Glc3Man9GlcNAc2	Mannosyl-oligosaccharide Glc3Man9GlcNAc2	Mannosyl-oligosaccharide Glc3Man9GlcNAc2	C04496		10000000
cpd12559_c0	N-Acetyl-D-glucosaminyldiphosphodolichol	N-Acetyl-D-glucosaminyldiphosphodolichol	N-Acetyl-D-glucosaminyldiphosphodolichol|N-Acetyl-D-glucosaminyl-diphosphodolichol	C04500	C33H57NO12P2	-2
cpd12560_c0	N3'-Acetyl-2-deoxystreptamine antibiotic	N3'-Acetyl-2-deoxystreptamine antibiotic	N3'-Acetyl-2-deoxystreptamine antibiotic	C04504	C8H14N2O4R2	0
cpd12561_c0	Polysialic acid acetylated at O-7	Polysialic acid acetylated at O-7	Polysialic acid acetylated at O-7	C04505	C11H14NO9R4*	0
cpd12562_c0	Protein C-terminal S-farnesyl-L-cysteine	Protein C-terminal S-farnesyl-L-cysteine	Protein C-terminal S-farnesyl-L-cysteine	C04506	C22H34N3O4R2S	-1
cpd12563_c0	alpha-D-Glucosylpoly(glycerol phosphate)	alpha-D-Glucosylpoly(glycerol phosphate)	alpha-D-Glucosylpoly(glycerol phosphate)	C04508	C12H24O16P2	-2
cpd12564_c0	tRNA 3-(3-amino-3-carboxypropyl)-uridine	tRNA 3-(3-amino-3-carboxypropyl)-uridine	tRNA 3-(3-amino-3-carboxypropyl)-uridine	C04510	C23H32N3O23P3R2	-4
cpd12565_c0	tRNA(Asp)-O-5''-beta-D-mannosylqueuosine	tRNA(Asp)-O-5''-beta-D-mannosylqueuosine	tRNA(Asp)-O-5''-beta-D-mannosylqueuosine	C04511	C43H61N5O36P4R4	-4
cpd12566_c0	trans,trans-2,3,4,5-Tetradehydroacyl-CoA	ttda10CoA	trans,trans-2,3,4,5-Tetradehydroacyl-CoA	C04512	C26H36N7O17P3RS	-3
cpd12567_c0	(3S)-3-Hydroxyacyl-N-acylthioethanolamine	(3S)-3-Hydroxyacyl-N-acylthioethanolamine	(3S)-3-Hydroxyacyl-N-acylthioethanolamine	C04515	C6H9NO3R2S	0
cpd12568_c0	Chitobiosyldiphosphodolichol	Chitobiosyldiphosphodolichol	N,N'-Diacetylchitobiosyldiphosphodolichol|Chitobiosyldiphosphodolichol	C04537	C41H70N2O17P2	-2
cpd12569_c0	N-Acetyl-D-glucosaminyllipopolysaccharide	N-Acetyl-D-glucosaminyllipopolysaccharide	N-Acetyl-D-glucosaminyllipopolysaccharide	C04539		10000000
cpd12570_c0	Protein beta-D-galactosyl-L-hydroxylysine	Protein beta-D-galactosyl-L-hydroxylysine	Protein beta-D-galactosyl-L-hydroxylysine	C04542	C13H23N3O8R2	0
cpd12571_c0	tRNA containing 2'-O-methylguanosine	tRNA containing 2'-O-methylguanosine	tRNA containing 2'-O-methylguanosine	C04545	C21H29N5O20P3R2	-3
